City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ancud,-41.8697,-73.8203,11.08,73,100,5.04,CL,1684276324
1,bethel,41.3712,-73.414,25.47,34,0,3.6,US,1684276385
2,ushuaia,-54.8,-68.3,6.81,61,20,5.14,AR,1684276075
3,klyuchi,52.2667,79.1667,9.97,65,66,3.34,RU,1684276419
4,barentu,15.1139,37.5928,29.09,11,2,1.68,ER,1684276623
5,grytviken,-54.2811,-36.5092,0.06,86,77,5.2,GS,1684276369
6,yellowknife,62.456,-114.3525,18.29,34,20,7.2,CA,1684276224
7,ust-nera,64.5667,143.2,4.37,90,100,2.54,RU,1684276441
8,port-aux-francais,-49.35,70.2167,8.05,95,100,17.51,TF,1684276371
9,luderitz,-26.6481,15.1594,13.22,79,0,2.04,NA,1684276415
10,adamstown,-25.066,-130.1015,23.52,75,30,3.14,PN,1684276373
11,papatowai,-46.5619,169.4708,8.98,91,100,3.89,NZ,1684276425
12,talnakh,69.4865,88.3972,-11.17,92,44,1.34,RU,1684276401
13,edinburgh of the seven seas,-37.0676,-12.3116,16.66,96,100,5.53,SH,1684276400
14,port lavaca,28.615,-96.6261,26.66,83,0,2.57,US,1684276625
15,shimokizukuri,40.8061,140.3861,20.85,71,39,3.57,JP,1684276625
16,dudinka,69.4058,86.1778,-12.46,99,69,1.46,RU,1684276387
17,waitangi,-43.9535,-176.5597,14.9,89,94,2.24,NZ,1684276373
18,uturoa,-16.7333,-151.4333,27.48,70,45,4.17,PF,1684276465
19,bolpur,23.6667,87.7167,26.95,65,5,3.06,IN,1684276626
20,bayanaul,50.7889,75.6956,9.18,57,81,1.46,KZ,1684276626
21,port elizabeth,-33.918,25.5701,15.73,92,0,9.83,ZA,1684276383
22,albany,42.6001,-73.9662,23.65,21,100,5.56,US,1684276173
23,victorica,-36.2151,-65.4359,20.92,51,2,3.58,AR,1684276567
24,aykhal,66.0,111.5,-0.33,92,99,4.06,RU,1684276436
25,nogliki,51.8333,143.1667,4.09,95,100,6.07,RU,1684276544
26,ed damer,17.5928,33.9592,30.01,9,0,5.18,SD,1684276627
27,macau,22.2006,113.5461,26.89,94,40,1.54,MO,1684276627
28,palikir - national government center,6.9248,158.1611,29.41,74,100,5.66,FM,1684276445
29,rio gallegos,-51.6226,-69.2181,10.03,53,0,9.77,AR,1684276503
30,urangan,-25.3,152.9,18.89,65,0,5.34,AU,1684276371
31,as sulayyil,20.4607,45.5779,32.14,17,73,3.79,SA,1684276628
32,puerto natales,-51.7236,-72.4875,3.3,94,68,1.8,CL,1684276374
33,utrik,11.2278,169.8474,27.44,76,87,6.98,MH,1684276390
34,stanley,54.868,-1.6985,9.18,92,75,0.51,GB,1684276427
35,tazacorte,28.629,-17.9293,20.54,80,40,7.2,ES,1684276524
36,tura,25.5198,90.2201,20.05,95,0,2.29,IN,1684276443
37,bredasdorp,-34.5322,20.0403,13.32,76,79,3.46,ZA,1684276371
38,wickenburg,33.9686,-112.7296,36.91,22,16,2.17,US,1684276629
39,tiksi,71.6872,128.8694,-10.92,92,95,2.48,RU,1684276394
40,ukiah,39.1502,-123.2078,32.47,29,0,0.0,US,1684276630
41,cuatro cienegas de carranza,26.9833,-102.0833,25.83,50,39,3.87,MX,1684276630
42,udachny,66.4167,112.4,1.92,80,100,3.53,RU,1684276382
43,sinop,41.7711,34.8709,13.61,81,12,3.02,TR,1684276630
44,borkum,53.5809,6.6915,9.97,77,24,9.57,DE,1684276630
45,yeppoon,-23.1333,150.7333,15.88,55,0,3.21,AU,1684276631
46,hermanus,-34.4187,19.2345,13.78,78,94,3.5,ZA,1684276397
47,oranjemund,-28.55,16.4333,12.07,94,0,2.64,NA,1684276631
48,wailua homesteads,22.0669,-159.378,25.44,66,75,5.66,US,1684276381
49,puerto penasco,31.3167,-113.5333,26.62,65,1,2.24,MX,1684276631
50,iskateley,67.6803,53.1512,4.14,96,58,3.76,RU,1684276449
51,port mathurin,-19.6833,63.4167,25.62,74,7,4.84,MU,1684276379
52,saint-philippe,-21.3585,55.7679,23.77,80,7,2.12,RE,1684276521
53,pacific grove,36.6177,-121.9166,27.44,80,40,4.12,US,1684276249
54,ribeira grande,38.5167,-28.7,19.32,91,52,0.89,PT,1684276392
55,west island,-12.1568,96.8225,26.99,69,82,5.14,CC,1684276380
56,mandalgovi,45.7625,106.2708,5.2,35,11,1.06,MN,1684276462
57,invercargill,-46.4,168.35,8.89,93,100,4.02,NZ,1684276390
58,santa ana,33.7456,-117.8678,33.26,61,20,5.14,US,1684276633
59,whitehorse,60.7161,-135.0538,22.83,15,20,3.09,CA,1684276258
60,kodiak,57.79,-152.4072,9.73,50,0,5.14,US,1684276400
61,iqaluit,63.7506,-68.5145,-0.15,64,75,7.2,CA,1684276215
62,margaret river,-33.95,115.0667,12.38,67,0,3.78,AU,1684276396
63,mourmelon-le-grand,49.1326,4.3642,8.82,76,0,3.6,FR,1684276634
64,chonchi,-42.6128,-73.8092,9.51,83,54,2.58,CL,1684276489
65,nova sintra,14.8667,-24.7167,20.44,76,12,7.51,CV,1684276464
66,sitka,57.0531,-135.33,15.94,55,0,2.57,US,1684276395
67,bandar-e lengeh,26.5579,54.8807,29.75,47,98,6.18,IR,1684276635
68,kamaishi,39.2667,141.8833,16.71,70,9,3.0,JP,1684276635
69,belyy yar,53.6039,91.3903,9.94,62,0,7.0,RU,1684276635
70,suntar,62.1444,117.6319,5.35,56,2,2.99,RU,1684276607
71,afaahiti,-17.75,-149.2833,28.93,76,83,3.46,PF,1684276447
72,bardai,11.65,7.2333,25.54,67,37,6.73,NG,1684276532
73,sadovoye,47.7764,44.5089,11.66,89,57,5.49,RU,1684276636
74,pasan,22.85,82.2,27.31,22,37,1.21,IN,1684276636
75,richards bay,-28.783,32.0377,17.15,86,0,3.7,ZA,1684276636
76,vorgashor,67.5833,63.95,-7.89,91,95,2.45,RU,1684276399
77,longyearbyen,78.2186,15.6401,-4.09,86,75,1.54,SJ,1684276417
78,lihue,21.9789,-159.3672,25.77,66,75,5.66,US,1684276375
79,puerto ayora,-0.7393,-90.3518,27.98,88,67,4.47,EC,1684276389
80,avarua,-21.2078,-159.775,21.03,88,100,2.57,CK,1684276382
81,fale old settlement,-9.3852,-171.2468,28.93,74,80,4.84,TK,1684276399
82,mayya,61.7333,130.2811,7.62,67,99,3.82,RU,1684276637
83,cukai,4.25,103.4167,24.97,93,41,1.18,MY,1684276638
84,la ronge,55.1001,-105.2842,16.14,41,100,6.17,CA,1684276505
85,vilyuchinsk,52.9306,158.4028,7.15,79,100,2.32,RU,1684276389
86,saipan,15.1355,145.701,29.39,100,40,4.63,MP,1684276395
87,mstsislaw,54.0192,31.7257,11.84,82,100,4.65,BY,1684276640
88,geraldton,-28.7667,114.6,13.23,67,100,5.14,AU,1684276636
89,isafjordur,66.0755,-23.124,6.32,87,97,5.42,IS,1684276374
90,praia da vitoria,38.7333,-27.0667,20.14,88,75,3.23,PT,1684276502
91,callao,-12.0667,-77.15,25.4,73,40,8.23,PE,1684276372
92,arraial do cabo,-22.9661,-42.0278,22.92,68,0,11.32,BR,1684276311
93,remire-montjoly,4.9167,-52.2667,24.02,100,100,1.54,GF,1684276486
94,coquimbo,-29.9533,-71.3436,16.85,77,100,5.14,CL,1684276392
95,tual,-5.6667,132.75,27.95,78,51,6.82,ID,1684276548
96,bukama,-9.2,25.85,22.02,62,98,0.55,CD,1684276642
97,newman,37.3138,-121.0208,34.02,25,0,4.47,US,1684276483
98,grottammare,42.9888,13.8649,15.01,91,98,3.47,IT,1684276643
99,minas de marcona,-15.2119,-75.1103,15.46,83,20,5.54,PE,1684276553
100,san miguel siguila,14.9,-91.6167,16.12,91,73,0.74,GT,1684276643
101,hawaiian paradise park,19.5933,-154.9731,25.41,82,100,5.66,US,1684276373
102,uglekamensk,43.2172,133.2303,21.61,61,65,0.86,RU,1684276644
103,ilulissat,69.2167,-51.1,1.01,75,0,4.63,GL,1684276389
104,yemetsk,63.4721,41.7941,12.17,63,100,2.27,RU,1684276644
105,freetown,8.484,-13.2299,27.84,78,75,5.14,SL,1684276536
106,anadyr,64.75,177.4833,-4.72,86,0,5.0,RU,1684276447
107,roma,43.2128,-75.4557,22.08,24,100,6.17,US,1684276463
108,punta arenas,-53.15,-70.9167,6.06,81,0,4.12,CL,1684276230
109,rajapur,25.3833,81.15,32.23,21,45,2.81,IN,1684276645
110,ca mau,9.1769,105.15,27.07,85,46,1.8,VN,1684276397
111,sretensk,52.2453,117.7093,9.0,27,29,1.06,RU,1684276646
112,salekhard,66.53,66.6019,-5.04,89,56,2.28,RU,1684276646
113,vernon,50.2581,-119.2691,33.29,25,31,0.45,CA,1684276223
114,port lincoln,-34.7333,135.8667,13.92,64,99,3.73,AU,1684276440
115,mount vernon,40.9126,-73.8371,27.13,28,75,8.23,US,1684276646
116,college,64.8569,-147.8028,21.99,23,75,5.66,US,1684276412
